2023-02-11 23:38:59,861,SubscriberAppln::driver
2023-02-11 23:38:59,862,**********************************
2023-02-11 23:38:59,862,SubscriberAppln::dump
2023-02-11 23:38:59,862,------------------------------
2023-02-11 23:38:59,862,     Name: sub2
2023-02-11 23:38:59,862,     Lookup: Centralized
2023-02-11 23:38:59,862,     Num Topics: 5
2023-02-11 23:38:59,862,     TopicList: ['light', 'temperature', 'weather', 'pressure', 'airquality']
2023-02-11 23:38:59,862,     Iterations: 1000
2023-02-11 23:38:59,862,     Frequency: 1
2023-02-11 23:38:59,862,**********************************
2023-02-11 23:38:59,862,SubscriberMW::event_loop - run the event loop
2023-02-11 23:38:59,864,SubscriberAppln::invoke_operation
2023-02-11 23:38:59,864,SubscriberMW::register
2023-02-11 23:38:59,865,SubscriberMW::register - sent register message and now now wait for reply
2023-02-11 23:38:59,919,SubscriberMW::handle_reply
2023-02-11 23:38:59,919,SubscriberAppln::register_response
2023-02-11 23:38:59,919,SubscriberAppln::invoke_operation
2023-02-11 23:38:59,919,SubscriberMW::is_ready
2023-02-11 23:38:59,919,SubscriberMW::is_ready - request sent and now wait for reply
2023-02-11 23:38:59,921,SubscriberMW::handle_reply
2023-02-11 23:38:59,921,SubscriberAppln::isready_response
2023-02-11 23:39:09,930,SubscriberAppln::invoke_operation
2023-02-11 23:39:09,930,SubscriberMW::is_ready
2023-02-11 23:39:09,931,SubscriberMW::is_ready - request sent and now wait for reply
2023-02-11 23:39:09,931,SubscriberMW::handle_reply
2023-02-11 23:39:09,931,SubscriberAppln::isready_response
2023-02-11 23:39:09,931,SubscriberAppln::invoke_operation
2023-02-11 23:39:09,931,SubscriberMW::lookup_publishers
2023-02-11 23:39:09,932,SubscriberMW::lookup_publishers - request sent and now wait for reply
2023-02-11 23:39:09,933,SubscriberMW::handle_reply
2023-02-11 23:39:09,933,SubscriberAppln::lookup_response
2023-02-11 23:39:09,933,SubscriberAppln::invoke_operation
2023-02-11 23:39:18,014,weather,sunny
2023-02-11 23:39:18,909,weather,icy
2023-02-11 23:39:18,910,temperature,8
2023-02-11 23:39:18,910,light,1100
2023-02-11 23:39:18,921,temperature,14
2023-02-11 23:39:18,922,weather,sunny
2023-02-11 23:39:19,015,weather,sunny
2023-02-11 23:39:19,911,weather,cloudy
2023-02-11 23:39:19,911,temperature,-74
2023-02-11 23:39:19,912,light,1100
2023-02-11 23:39:19,924,temperature,-38
2023-02-11 23:39:19,924,weather,cloudy
2023-02-11 23:39:20,016,weather,rainy
2023-02-11 23:39:20,913,weather,icy
2023-02-11 23:39:20,914,temperature,-10
2023-02-11 23:39:20,914,light,450
2023-02-11 23:39:20,925,temperature,48
2023-02-11 23:39:20,926,weather,icy
2023-02-11 23:39:21,018,weather,icy
2023-02-11 23:39:21,915,weather,foggy
2023-02-11 23:39:21,915,temperature,6
2023-02-11 23:39:21,916,light,1100
2023-02-11 23:39:21,926,temperature,99
2023-02-11 23:39:21,927,weather,foggy
2023-02-11 23:39:22,019,weather,sunny
2023-02-11 23:39:22,917,weather,sunny
2023-02-11 23:39:22,917,temperature,-89
2023-02-11 23:39:22,918,light,800
2023-02-11 23:39:22,928,temperature,34
2023-02-11 23:39:22,928,weather,cloudy
2023-02-11 23:39:23,020,weather,icy
2023-02-11 23:39:23,921,weather,icy
2023-02-11 23:39:23,921,temperature,28
2023-02-11 23:39:23,922,light,450
2023-02-11 23:39:23,930,temperature,-98
2023-02-11 23:39:23,930,weather,cloudy
2023-02-11 23:39:24,021,weather,icy
2023-02-11 23:39:24,923,weather,foggy
2023-02-11 23:39:24,924,temperature,-11
2023-02-11 23:39:24,924,light,450
2023-02-11 23:39:24,932,temperature,-74
2023-02-11 23:39:24,932,weather,rainy
2023-02-11 23:39:25,023,weather,cloudy
2023-02-11 23:39:25,925,weather,rainy
2023-02-11 23:39:25,925,temperature,-34
2023-02-11 23:39:25,926,light,800
2023-02-11 23:39:25,934,temperature,69
2023-02-11 23:39:25,934,weather,sunny
2023-02-11 23:39:26,025,weather,sunny
2023-02-11 23:39:26,926,weather,foggy
2023-02-11 23:39:26,926,temperature,14
2023-02-11 23:39:26,926,light,450
2023-02-11 23:39:26,935,temperature,-23
2023-02-11 23:39:26,936,weather,icy
2023-02-11 23:39:27,025,weather,rainy
2023-02-11 23:39:27,927,weather,cloudy
2023-02-11 23:39:27,928,temperature,-89
2023-02-11 23:39:27,928,light,1600
2023-02-11 23:39:27,939,temperature,25
2023-02-11 23:39:27,939,weather,foggy
2023-02-11 23:39:28,027,weather,foggy
2023-02-11 23:39:28,929,weather,cloudy
2023-02-11 23:39:28,930,temperature,2
2023-02-11 23:39:28,930,light,450
2023-02-11 23:39:28,939,temperature,-30
2023-02-11 23:39:28,939,weather,sunny
2023-02-11 23:39:29,028,weather,foggy
2023-02-11 23:39:29,931,weather,cloudy
2023-02-11 23:39:29,931,temperature,-20
2023-02-11 23:39:29,932,light,1100
2023-02-11 23:39:29,940,temperature,-86
2023-02-11 23:39:29,941,weather,cloudy
2023-02-11 23:39:30,029,weather,sunny
2023-02-11 23:39:30,933,weather,sunny
2023-02-11 23:39:30,933,temperature,-56
2023-02-11 23:39:30,933,light,1600
2023-02-11 23:39:30,942,temperature,-88
2023-02-11 23:39:30,943,weather,cloudy
2023-02-11 23:39:31,031,weather,icy
2023-02-11 23:39:31,934,weather,foggy
2023-02-11 23:39:31,935,temperature,-47
2023-02-11 23:39:31,935,light,1600
2023-02-11 23:39:31,943,temperature,9
2023-02-11 23:39:31,943,weather,rainy
2023-02-11 23:39:32,033,weather,icy
2023-02-11 23:39:32,936,weather,rainy
2023-02-11 23:39:32,937,temperature,-22
2023-02-11 23:39:32,937,light,1100
2023-02-11 23:39:32,945,temperature,14
2023-02-11 23:39:32,945,weather,foggy
2023-02-11 23:39:33,034,weather,rainy
2023-02-11 23:39:33,939,weather,sunny
2023-02-11 23:39:33,939,temperature,95
2023-02-11 23:39:33,939,light,800
2023-02-11 23:39:33,948,temperature,-68
2023-02-11 23:39:33,949,weather,sunny
2023-02-11 23:39:34,035,weather,sunny
2023-02-11 23:39:34,941,weather,rainy
2023-02-11 23:39:34,941,temperature,36
2023-02-11 23:39:34,941,light,450
2023-02-11 23:39:34,948,temperature,-38
2023-02-11 23:39:34,948,weather,foggy
2023-02-11 23:39:35,037,weather,cloudy
2023-02-11 23:39:35,942,weather,foggy
2023-02-11 23:39:35,943,temperature,-89
2023-02-11 23:39:35,943,light,1600
2023-02-11 23:39:35,950,temperature,-90
2023-02-11 23:39:35,950,weather,foggy
2023-02-11 23:39:36,038,weather,sunny
2023-02-11 23:39:36,944,weather,rainy
2023-02-11 23:39:36,945,temperature,-100
2023-02-11 23:39:36,945,light,450
2023-02-11 23:39:36,951,temperature,43
2023-02-11 23:39:36,952,weather,sunny
2023-02-11 23:39:37,040,weather,sunny
2023-02-11 23:39:37,946,weather,foggy
2023-02-11 23:39:37,946,temperature,67
2023-02-11 23:39:37,947,light,800
2023-02-11 23:39:37,953,temperature,90
2023-02-11 23:39:37,954,weather,rainy
2023-02-11 23:39:38,041,weather,cloudy
2023-02-11 23:39:38,947,weather,sunny
2023-02-11 23:39:38,948,temperature,-72
2023-02-11 23:39:38,948,light,450
2023-02-11 23:39:38,955,temperature,59
2023-02-11 23:39:38,956,weather,cloudy
2023-02-11 23:39:39,042,weather,sunny
2023-02-11 23:39:39,949,weather,cloudy
2023-02-11 23:39:39,950,temperature,-64
2023-02-11 23:39:39,950,light,1600
2023-02-11 23:39:39,957,temperature,2
2023-02-11 23:39:39,958,weather,rainy
2023-02-11 23:39:40,043,weather,foggy
2023-02-11 23:40:21,830,SubscriberAppln::driver
2023-02-11 23:40:21,830,**********************************
2023-02-11 23:40:21,830,SubscriberAppln::dump
2023-02-11 23:40:21,830,------------------------------
2023-02-11 23:40:21,830,     Name: sub2
2023-02-11 23:40:21,830,     Lookup: Centralized
2023-02-11 23:40:21,830,     Num Topics: 5
2023-02-11 23:40:21,830,     TopicList: ['airquality', 'weather', 'temperature', 'pressure', 'light']
2023-02-11 23:40:21,830,     Iterations: 1000
2023-02-11 23:40:21,835,     Frequency: 1
2023-02-11 23:40:21,835,**********************************
2023-02-11 23:40:21,835,SubscriberMW::event_loop - run the event loop
2023-02-11 23:40:21,835,SubscriberAppln::invoke_operation
2023-02-11 23:40:21,835,SubscriberMW::register
2023-02-11 23:40:21,835,SubscriberMW::register - sent register message and now now wait for reply
2023-02-11 23:40:21,879,SubscriberMW::handle_reply
2023-02-11 23:40:21,879,SubscriberAppln::register_response
2023-02-11 23:40:21,879,SubscriberAppln::invoke_operation
2023-02-11 23:40:21,879,SubscriberMW::is_ready
2023-02-11 23:40:21,879,SubscriberMW::is_ready - request sent and now wait for reply
2023-02-11 23:40:21,880,SubscriberMW::handle_reply
2023-02-11 23:40:21,880,SubscriberAppln::isready_response
2023-02-11 23:40:21,880,SubscriberAppln::invoke_operation
2023-02-11 23:40:21,880,SubscriberMW::lookup_publishers
2023-02-11 23:40:21,880,SubscriberMW::lookup_publishers - request sent and now wait for reply
2023-02-11 23:40:21,881,SubscriberMW::handle_reply
2023-02-11 23:40:21,881,SubscriberAppln::lookup_response
2023-02-11 23:40:21,881,SubscriberAppln::invoke_operation
2023-02-11 23:40:31,884,airquality,good
2023-02-11 23:40:31,885,light,1600
2023-02-11 23:40:32,857,airquality,poor
2023-02-11 23:40:32,882,weather,sunny
2023-02-11 23:40:32,882,light,1100
2023-02-11 23:40:32,882,temperature,-70
2023-02-11 23:40:32,885,airquality,poor
2023-02-11 23:40:32,886,light,1600
2023-02-11 23:40:33,858,airquality,poor
2023-02-11 23:40:33,883,weather,sunny
2023-02-11 23:40:33,883,light,1600
2023-02-11 23:40:33,884,temperature,-73
2023-02-11 23:40:33,889,airquality,poor
2023-02-11 23:40:33,889,light,1600
2023-02-11 23:40:34,860,airquality,poor
2023-02-11 23:40:34,884,weather,foggy
2023-02-11 23:40:34,885,light,800
2023-02-11 23:40:34,885,temperature,-55
2023-02-11 23:40:34,890,airquality,smog
2023-02-11 23:40:34,891,light,1600
2023-02-11 23:40:35,861,airquality,smog
2023-02-11 23:40:35,887,weather,cloudy
2023-02-11 23:40:35,887,light,450
2023-02-11 23:40:35,888,temperature,-83
2023-02-11 23:40:35,892,airquality,good
2023-02-11 23:40:35,892,light,450
2023-02-11 23:40:36,863,airquality,smog
2023-02-11 23:40:36,889,weather,sunny
2023-02-11 23:40:36,889,light,1600
2023-02-11 23:40:36,890,temperature,1
2023-02-11 23:40:36,894,airquality,smog
2023-02-11 23:40:36,895,light,1600
2023-02-11 23:40:37,864,airquality,poor
2023-02-11 23:40:37,891,weather,foggy
2023-02-11 23:40:37,891,light,1600
2023-02-11 23:40:37,891,temperature,-36
2023-02-11 23:40:37,895,airquality,poor
2023-02-11 23:40:37,896,light,800
2023-02-11 23:40:38,866,airquality,smog
2023-02-11 23:40:38,893,weather,rainy
2023-02-11 23:40:38,893,light,450
2023-02-11 23:40:38,894,temperature,-47
2023-02-11 23:40:38,897,airquality,good
2023-02-11 23:40:38,898,light,450
2023-02-11 23:40:39,867,airquality,good
2023-02-11 23:40:39,895,weather,foggy
2023-02-11 23:40:39,895,light,450
2023-02-11 23:40:39,896,temperature,11
2023-02-11 23:40:39,898,airquality,good
2023-02-11 23:40:39,899,light,450
2023-02-11 23:40:40,868,airquality,smog
2023-02-11 23:40:40,896,weather,sunny
2023-02-11 23:40:40,897,light,1600
2023-02-11 23:40:40,897,temperature,98
2023-02-11 23:40:40,902,airquality,good
2023-02-11 23:40:40,903,light,450
2023-02-11 23:40:41,870,airquality,poor
2023-02-11 23:40:41,899,weather,cloudy
2023-02-11 23:40:41,899,light,450
2023-02-11 23:40:41,899,temperature,69
2023-02-11 23:40:41,902,airquality,good
2023-02-11 23:40:41,902,light,1600
2023-02-11 23:40:42,871,airquality,smog
2023-02-11 23:40:42,900,weather,rainy
2023-02-11 23:40:42,900,light,800
2023-02-11 23:40:42,901,temperature,8
2023-02-11 23:40:42,904,airquality,poor
2023-02-11 23:40:42,905,light,1600
2023-02-11 23:40:43,872,airquality,poor
2023-02-11 23:40:43,901,weather,icy
2023-02-11 23:40:43,901,light,1100
2023-02-11 23:40:43,902,temperature,-19
2023-02-11 23:40:43,906,airquality,poor
2023-02-11 23:40:43,907,light,1600
2023-02-11 23:40:44,874,airquality,smog
2023-02-11 23:40:44,903,weather,sunny
2023-02-11 23:40:44,903,light,450
2023-02-11 23:40:44,903,temperature,17
2023-02-11 23:40:44,907,airquality,good
2023-02-11 23:40:44,908,light,800
2023-02-11 23:40:45,875,airquality,smog
2023-02-11 23:40:45,905,weather,icy
2023-02-11 23:40:45,905,light,800
2023-02-11 23:40:45,906,temperature,50
2023-02-11 23:40:45,909,airquality,smog
2023-02-11 23:40:45,909,light,1100
2023-02-11 23:40:46,877,airquality,smog
2023-02-11 23:40:46,907,weather,sunny
2023-02-11 23:40:46,907,light,800
2023-02-11 23:40:46,908,temperature,82
2023-02-11 23:40:46,910,airquality,poor
2023-02-11 23:40:46,911,light,1100
2023-02-11 23:40:47,879,airquality,poor
2023-02-11 23:40:47,908,weather,sunny
2023-02-11 23:40:47,909,light,800
2023-02-11 23:40:47,909,temperature,32
2023-02-11 23:40:47,912,airquality,poor
2023-02-11 23:40:47,912,light,1100
2023-02-11 23:40:48,880,airquality,poor
2023-02-11 23:40:48,910,weather,icy
2023-02-11 23:40:48,911,light,800
2023-02-11 23:40:48,911,temperature,38
2023-02-11 23:40:48,913,airquality,smog
2023-02-11 23:40:48,914,light,450
2023-02-11 23:40:49,881,airquality,good
2023-02-11 23:40:49,912,weather,icy
2023-02-11 23:40:49,913,light,1100
2023-02-11 23:40:49,913,temperature,-27
2023-02-11 23:40:49,916,airquality,poor
2023-02-11 23:40:49,917,light,1100
2023-02-11 23:40:50,883,airquality,poor
2023-02-11 23:40:50,914,weather,sunny
2023-02-11 23:40:50,914,light,1600
2023-02-11 23:40:50,914,temperature,-79
2023-02-11 23:40:50,917,airquality,good
2023-02-11 23:40:50,918,light,1100
2023-02-11 23:40:51,884,airquality,good
2023-02-11 23:40:51,915,weather,cloudy
2023-02-11 23:40:51,915,light,1600
2023-02-11 23:40:51,916,temperature,-57
2023-02-11 23:40:51,918,airquality,poor
2023-02-11 23:40:51,919,light,1100
2023-02-11 23:40:52,886,airquality,good
2023-02-11 23:40:52,917,weather,icy
2023-02-11 23:40:52,918,light,800
2023-02-11 23:40:52,918,temperature,-47
2023-02-11 23:40:52,920,airquality,poor
2023-02-11 23:40:52,921,light,1100
2023-02-11 23:40:53,887,airquality,poor
2023-02-11 23:40:53,919,weather,foggy
2023-02-11 23:40:53,919,light,1600
2023-02-11 23:40:53,920,temperature,-88
2023-02-11 23:40:53,922,airquality,poor
2023-02-11 23:40:53,923,light,1600
2023-02-11 23:40:54,888,airquality,good
2023-02-11 23:40:54,921,weather,sunny
2023-02-11 23:40:54,921,light,800
2023-02-11 23:40:54,921,temperature,8
2023-02-11 23:40:54,923,airquality,smog
2023-02-11 23:40:54,924,light,450
2023-02-11 23:40:55,890,airquality,poor
2023-02-11 23:40:55,923,weather,sunny
2023-02-11 23:40:55,923,light,800
2023-02-11 23:40:55,925,temperature,-92
2023-02-11 23:40:55,926,airquality,good
2023-02-11 23:40:55,927,light,1600
2023-02-11 23:40:56,891,airquality,good
2023-02-11 23:40:56,924,weather,sunny
2023-02-11 23:40:56,925,light,1600
2023-02-11 23:40:56,925,temperature,85
2023-02-11 23:40:56,927,airquality,smog
2023-02-11 23:40:56,928,light,800
2023-02-11 23:40:57,892,airquality,good
2023-02-11 23:40:57,926,weather,foggy
2023-02-11 23:40:57,926,light,450
2023-02-11 23:40:57,926,temperature,70
2023-02-11 23:40:57,929,airquality,smog
2023-02-11 23:40:57,930,light,800
2023-02-11 23:40:58,894,airquality,poor
2023-02-11 23:40:58,927,weather,foggy
2023-02-11 23:40:58,928,light,1100
2023-02-11 23:40:58,928,temperature,34
2023-02-11 23:40:58,931,airquality,smog
2023-02-11 23:40:58,931,light,450
2023-02-11 23:40:59,895,airquality,good
2023-02-11 23:40:59,929,weather,foggy
2023-02-11 23:40:59,930,light,1600
2023-02-11 23:40:59,930,temperature,-24
2023-02-11 23:40:59,932,airquality,poor
2023-02-11 23:40:59,933,light,1100
2023-02-11 23:41:00,896,airquality,smog
2023-02-11 23:41:00,931,weather,rainy
2023-02-11 23:41:00,931,light,1100
2023-02-11 23:41:00,932,temperature,-46
2023-02-11 23:41:00,934,airquality,poor
2023-02-11 23:41:00,936,light,1100
2023-02-11 23:41:01,898,airquality,poor
2023-02-11 23:41:01,933,weather,foggy
2023-02-11 23:41:01,933,light,1100
2023-02-11 23:41:01,934,temperature,-68
2023-02-11 23:41:01,937,airquality,good
2023-02-11 23:41:01,938,light,1100
2023-02-11 23:41:02,899,airquality,good
2023-02-11 23:41:02,934,weather,rainy
2023-02-11 23:41:02,935,light,450
2023-02-11 23:41:02,935,temperature,-57
2023-02-11 23:41:02,938,airquality,good
2023-02-11 23:41:02,939,light,800
2023-02-11 23:41:03,900,airquality,smog
2023-02-11 23:41:03,935,weather,foggy
2023-02-11 23:41:03,936,light,1100
2023-02-11 23:41:03,936,temperature,-57
2023-02-11 23:41:03,939,airquality,good
2023-02-11 23:41:03,940,light,1100
2023-02-11 23:41:04,901,airquality,poor
2023-02-11 23:41:04,937,weather,sunny
2023-02-11 23:41:04,937,light,1100
2023-02-11 23:41:04,938,temperature,18
2023-02-11 23:41:04,940,airquality,smog
2023-02-11 23:41:04,942,light,450
2023-02-11 23:41:05,903,airquality,good
2023-02-11 23:41:05,939,weather,rainy
2023-02-11 23:41:05,939,light,1600
2023-02-11 23:41:05,940,temperature,-1
2023-02-11 23:41:05,941,airquality,good
2023-02-11 23:41:05,942,light,450
2023-02-11 23:41:06,904,airquality,poor
2023-02-11 23:41:06,941,weather,sunny
2023-02-11 23:41:06,941,light,1100
2023-02-11 23:41:06,941,temperature,62
2023-02-11 23:41:06,943,airquality,poor
2023-02-11 23:41:06,944,light,800
2023-02-11 23:41:07,906,airquality,smog
2023-02-11 23:41:07,942,weather,rainy
2023-02-11 23:41:07,943,light,1100
2023-02-11 23:41:07,943,temperature,34
2023-02-11 23:41:07,945,airquality,smog
2023-02-11 23:41:07,947,light,800
2023-02-11 23:41:08,907,airquality,smog
2023-02-11 23:41:08,944,weather,icy
2023-02-11 23:41:08,945,light,450
2023-02-11 23:41:08,945,temperature,87
2023-02-11 23:41:08,948,airquality,poor
2023-02-11 23:41:08,950,light,800
2023-02-11 23:41:09,909,airquality,good
2023-02-11 23:41:09,946,weather,foggy
2023-02-11 23:41:09,947,light,450
2023-02-11 23:41:09,947,temperature,23
2023-02-11 23:41:09,950,airquality,good
2023-02-11 23:41:09,950,light,450
2023-02-11 23:41:10,910,airquality,good
2023-02-11 23:41:10,948,weather,icy
2023-02-11 23:41:10,948,light,800
2023-02-11 23:41:10,949,temperature,-5
2023-02-11 23:41:10,954,airquality,good
2023-02-11 23:41:10,954,light,800
2023-02-11 23:41:11,910,airquality,good
2023-02-11 23:41:11,950,weather,foggy
2023-02-11 23:41:11,950,light,1600
2023-02-11 23:41:11,951,temperature,66
2023-02-11 23:41:11,953,airquality,poor
2023-02-11 23:41:11,954,light,800
2023-02-11 23:41:12,912,airquality,smog
2023-02-11 23:41:12,951,weather,sunny
2023-02-11 23:41:12,951,light,1600
2023-02-11 23:41:12,952,temperature,-24
2023-02-11 23:41:12,955,airquality,good
2023-02-11 23:41:12,955,light,1600
2023-02-11 23:41:13,913,airquality,good
2023-02-11 23:41:13,953,weather,cloudy
2023-02-11 23:41:13,953,light,1100
2023-02-11 23:41:13,956,temperature,77
2023-02-11 23:41:13,957,airquality,good
2023-02-11 23:41:13,958,light,1600
2023-02-11 23:41:14,914,airquality,good
2023-02-11 23:41:14,959,airquality,poor
2023-02-11 23:41:14,959,weather,sunny
2023-02-11 23:41:14,959,light,1600
2023-02-11 23:41:14,960,light,800
2023-02-11 23:41:14,960,temperature,65
2023-02-11 23:41:15,916,airquality,good
2023-02-11 23:41:15,960,airquality,smog
2023-02-11 23:41:15,960,light,450
2023-02-11 23:41:15,961,weather,foggy
2023-02-11 23:41:15,962,light,450
2023-02-11 23:41:15,963,temperature,-35
2023-02-11 23:41:16,917,airquality,poor
2023-02-11 23:41:16,962,airquality,smog
2023-02-11 23:41:16,962,light,800
2023-02-11 23:41:16,964,weather,icy
2023-02-11 23:41:16,964,light,800
2023-02-11 23:41:16,965,temperature,7
2023-02-11 23:41:17,919,airquality,good
2023-02-11 23:41:17,964,airquality,good
2023-02-11 23:41:17,964,light,1100
2023-02-11 23:41:17,966,weather,sunny
2023-02-11 23:41:17,968,light,1100
2023-02-11 23:41:17,969,temperature,16
2023-02-11 23:41:18,920,airquality,poor
2023-02-11 23:41:18,966,airquality,poor
2023-02-11 23:41:18,966,light,1100
2023-02-11 23:41:18,967,weather,foggy
2023-02-11 23:41:18,968,light,1100
2023-02-11 23:41:18,969,temperature,75
2023-02-11 23:41:19,920,airquality,smog
2023-02-11 23:41:19,967,airquality,smog
2023-02-11 23:41:19,967,light,450
2023-02-11 23:41:19,969,weather,cloudy
2023-02-11 23:41:19,970,light,1100
2023-02-11 23:41:19,970,temperature,-100
2023-02-11 23:41:20,922,airquality,good
2023-02-11 23:41:20,968,airquality,poor
2023-02-11 23:41:20,968,light,1600
2023-02-11 23:41:20,972,weather,cloudy
2023-02-11 23:41:20,972,light,1100
2023-02-11 23:41:20,973,temperature,-12
2023-02-11 23:41:21,923,airquality,smog
2023-02-11 23:41:21,970,airquality,poor
2023-02-11 23:41:21,970,light,450
2023-02-11 23:41:21,973,weather,foggy
2023-02-11 23:41:21,974,light,450
2023-02-11 23:41:21,974,temperature,100
2023-02-11 23:41:22,925,airquality,poor
2023-02-11 23:41:22,972,airquality,good
2023-02-11 23:41:22,972,light,1100
2023-02-11 23:41:22,975,weather,icy
2023-02-11 23:41:22,975,light,450
2023-02-11 23:41:22,976,temperature,42
2023-02-11 23:41:23,926,airquality,smog
2023-02-11 23:41:23,974,airquality,good
2023-02-11 23:41:23,974,light,1600
2023-02-11 23:41:23,976,weather,sunny
2023-02-11 23:41:23,977,light,1100
2023-02-11 23:41:23,978,temperature,51
2023-02-11 23:41:24,927,airquality,good
2023-02-11 23:41:24,975,airquality,poor
2023-02-11 23:41:24,976,light,800
2023-02-11 23:41:24,978,weather,cloudy
2023-02-11 23:41:24,978,light,1100
2023-02-11 23:41:24,979,temperature,78
2023-02-11 23:41:25,929,airquality,smog
2023-02-11 23:41:25,977,airquality,good
2023-02-11 23:41:25,978,light,1600
2023-02-11 23:41:25,979,weather,icy
2023-02-11 23:41:25,979,light,1600
2023-02-11 23:41:25,980,temperature,-69
2023-02-11 23:41:26,930,airquality,good
2023-02-11 23:41:26,979,airquality,smog
2023-02-11 23:41:26,979,light,450
2023-02-11 23:41:26,981,weather,icy
2023-02-11 23:41:26,981,light,1600
2023-02-11 23:41:26,981,temperature,-77
2023-02-11 23:41:27,932,airquality,poor
2023-02-11 23:41:27,980,airquality,smog
2023-02-11 23:41:27,980,light,1600
2023-02-11 23:41:27,983,weather,foggy
2023-02-11 23:41:27,983,light,800
2023-02-11 23:41:27,984,temperature,89
2023-02-11 23:41:28,933,airquality,good
2023-02-11 23:41:28,982,airquality,smog
2023-02-11 23:41:28,983,light,800
2023-02-11 23:41:28,984,weather,cloudy
2023-02-11 23:41:28,985,light,450
2023-02-11 23:41:28,985,temperature,62
2023-02-11 23:41:29,934,airquality,smog
2023-02-11 23:41:29,984,airquality,smog
2023-02-11 23:41:29,985,light,1600
2023-02-11 23:41:29,986,weather,rainy
2023-02-11 23:41:29,987,light,1100
2023-02-11 23:41:29,987,temperature,-10
2023-02-11 23:41:30,936,airquality,smog
2023-02-11 23:41:30,985,airquality,good
2023-02-11 23:41:30,986,light,450
